userName,score,at,content
Angga Agung Irianto,2,2022-12-05 07:57:36,Sinyal penuh tapi buat internet jelek dan saat mau me ngecek di aplikasi my xl nya sering terjadi kesalahan dan tidak masuk tolong perbaiki dong .
Melya Khairunnisa,1,2022-12-05 07:49:41,XL AJG Masa setiap buka aplikasi selalu keluar padahal pengen beli paket ajg nyampe kuota gw habis gara gara aplikasinya selalu aj FC!! Mohon diperbaiki lagi!!
Yusi,3,2022-12-05 07:08:45,"Xl gk bisa dibuka, cuma loading terussss. Abis di clear cache, uninstal, instal ulang namanya ganti jadi feature_referal. Aneh."
Rifki Aufa 12,1,2022-12-05 06:40:21,Fitur lifetime ga jelas udh mau naik level berikutnya malah balik ke level awal dasar yang ga berguna sama sekali rewardnya di level awal xl aneh sering ngelag banyak gangguan banyak kendala ini itu
Indra Alamsyah,2,2022-12-05 05:49:46,"Apk nya bagus sih, mudah untuk beli dan bayar kuota, tapi yg jadi masalhnya itu Jaringan yg selalu lemot, jadi untuk itu saya harap operator jaringan XL bisa menangani masalah tersebut, terimakasih"
Galang Satria,1,2022-12-05 05:38:57,"Untuk harga nya murah banget tapi ada beberapa yang aku gak suka dari XL ialah selalu loading saat sosmed dan selalu ngeleg saat bermain game. Tapi itu aja sih yang cukup menggangu . Untuk harga nya udah ok,tapi tolong untuk ngeleg nya ya☺️☺️"
Ghea Apriyan,1,2022-12-05 05:01:02,"Udah di clear cache,clear data, uninstall masih tetep aja gak bisa, malahan aplikasinya bukan myxl lagi namanya, feature referral... Gimana nih solusinya?"
Nabila Putry,2,2022-12-05 04:16:26,"Setelah di update malah gabisa dibuka apknya load lama bangettttt padahal sinyal full, aneh tolong dong diperbaiki lagi."
Anime official Indonesia,1,2022-12-05 04:04:51,Perbaiki masalah sinyal/jaringan yang tidak stabil & juga kecepatan internet juga tidak stabil. Saya penguna XL yang terbilang cukup lama sangat kecewa dengan masalah kecepatan internet yang sering naik turun & tidak puas dalam bermain medsos & bermain game
mohamadmaftukhin maftukhin,1,2022-12-05 03:58:36,"Sangat tidak puas... Beli paket di my xl.... transaksai sudah berhasil, saldo sudah kepotong...tpi paket yang dibeli tidak masuk... Saya konfirmasi ulang ttp blm ada kejelasan."
Lutfiatun Solihah,2,2022-12-05 03:48:33,"Pulsa ku ilang ilangan mulu jadi berkurang mulu padahal mau pake buat beli data, padahal gak pernah minjem ke operator nya mana lemot banget lagi jaringannya. Kesel sih :)"
Restu RDW,1,2022-12-05 01:16:25,"Sudah jelek sekali skrg,, masa saya perpanjang kuota akrab tapi anggota paket gkk bisa akses kuota nya,, pas di atur nyalakan izin akses kuota untuk anggota malah bilangnya bermasalah lagi dan lagi,, kapan anggota paket bisa menggunakan kuota nya??"
Sorkam Tengah,3,2022-12-05 01:04:17,"Aplikasi nya bagus, tampilannya juga ok, yahg menjadi kendala adalah sangat sering eror padahal sudah di updet tapi masih saja eror, terimakasih ."
map,3,2022-12-05 00:45:27,"kenapa di samsung, aplikasi my xl itu beda nama "" reperal gitu tulisannya"" , yang kedua, kenapa di samsung terdetek game ya, masuk ke game launcher, jujur buat boros baterai juga, lelet juga."
Ahmad Alfariqi,5,2022-12-04 23:54:13,"Tolong perbaiki aplikasinya, saya mau membeli paket data tetapi selalu tidak bisa dengan alasan gangguan jaringan. Padahal sinyal di tempat saya baik dan lancar kalau membuka aplikasi lain"
Abdi Th3a,1,2022-12-04 23:35:53,"Isi x-tra combo flex XL ternyata tidak nyaman, jaringan putus² terus .. sangat kecewa untuk pengisian yang ke 2.. saya isi dengan harga 82.000"
M. Hafizhudin Nasith,1,2022-12-04 22:05:23,"Bagaimana ini? Kendala yang saya alami kok belum ditangani? Sudah 1x24 jam lebih saya berusaha komplain ke berbagai platform dan sosial media My XL tapi belum ada tindak lanjut yang memuaskan. Tolong segera diperbaiki, saya sebagai pelanggan sangat dikecewakan dan dirugikan dengan adanya kendala yang sama alami. Saya beli kuota tetapi tidak mendapatkan hak akses sepenuhnya atas kuota yang saya beli."
Agi Leo Pratama,1,2022-12-04 17:53:11,"Setelah update ko jadi aplikasi gak jelas? Namanya jadi feature referal apaan coba? Pas dibuka juga kaya aplikasi belum jadi, masa level balik dari awal aneh"
Sirin Ahmad,2,2022-12-04 16:17:41,"Versi terbaru MyXL v5.6.14 banyak bug, bug pada menu Myreward (level myreward platinum tiba-tiba turun ke blue), bug pada nama aplikasi MyXL > feature_referral, dan bug lainnya termasuk force close, saya sudah hapus data/cache dan sudah coba install ulang app MyXL nya, tapi tetap saja nihil.... bug ya bug.... tolong di fix secepatnya, sudah di kasih masukan juga kalo 1 app 1 layanan aja, jangan di gabung jadinya gak beres beres bug nya.... :("
Bacharuddin Jusuf,1,2022-12-04 14:03:11,"Sama seperti beberapa user yg lain, Setelah di update malah ga bisa diakses via aplikasi, nama aplikasi berubah jadi feature_referral.. mohon diperbaiki"
Septi Damayanti,1,2022-12-04 14:02:02,"Tolong donk XL,dipake makin lama bukannya makin murah dan bagus mlh tambah mahal,tambah jelek jg jaringan nya. Kecewa bgt sh asli. Padahal pas awal2 sinyal bagus bgt"
Hendra Nugroho,1,2022-12-04 13:50:20,"Aplikasi susah utk dibuka dan serring nutup sendiri,... kok gak bisa masuk, aplikasi eror Sdh dicoba uninstalled berkali2 hp dimatikan nyalakan lg tetap tdk bisa ini aplikasi apa ya...."
Ridho Nur,1,2022-12-04 13:44:41,"Percuma,banyakin update,kalo jaringan ga kenceng,saya tinggal di kota tapi jaringan kaya di plosok ajah,maen ML kaya lampu lalu lintas,(merah,kuning,hijau,) *Stabilin dulu jaringannya,baru banyakin event!!!!!*"
Ady Sunda,2,2022-12-04 13:41:48,"Maaf saya turunin bintangnya,Sebelum di update punya sudah gold setelah di update kok turun ke silver tolong di perbaiki,klu belum ada tanggapan kedepan terpaksa turun lagi bintangnya terima kasih."
Ichlasul Abid,1,2022-12-04 13:37:57,"Untuk pelayanan cs di aplikasi slow respon dan tidak memberikan solusi, pernah kena bug kuota hilang dan myrewards juga kereset dr platinum balik ke awal lagi pdhl sebelum sebelumnya ga knp knp transaksi selalu 150k/bulan untuk pembelian kuota tiba tiba kena reset dan kontak ke cs balasan slowrespon sampe harus ulang dan ga dpt solusi."
Mutiara Chairunnisa,5,2022-12-04 13:37:41,"Seneng bgt pake my xl, banyak promonya. Pulsa juga bisa diatur supaya gak kesedot saat lg gk ada kuota. Saran aku sih lebih seringin aja ada promo kuota, jd buat pelajar sama mahasiswa bisa hemat. Thank you XL❤️"
Julius Tambaru,1,2022-12-04 13:23:06,"Tolong perbaiki jaringan di area Minahasa Utara. Sudah 3 bln jaringannya anjlok parah... Semoga cepat di respon. Jika jaringan sudah normal kembali, aku kasih *5 Terima kasih 🙏"
Yusuf Aminudin,3,2022-12-04 13:15:55,"Mungkin saran saya untuk ditambahi paket untuk 6 bulan sekali bayar. Untuk selebihnya tinggal memperbaiki bug aja sihh, untuk fitur diapknya mudah dipahami, dipelajari. Mungkin itu saran saya. Saya akan merubah bintang 5 jika menambahkan paket untuk 6 bulan/brp bulan yg sekali bayar, jadi jangan hanya tenggat waktu 30 hari saja.."
Wahyu AC,1,2022-12-04 13:00:58,"Yg bikin aplikasi TOLOL, ngga bisa dibuka. Kayanya mau bangkrut ni provider, minta PUK saja 3 jam lebih. Bersihkan cache ya ...... kalau masih terkendala juga, silahkan ganti kartu, Telkomsel misalnya."
Humaira Humaira,1,2022-12-04 11:55:40,"Update apk elit, sinyal sulit .. Ayodong XL cape loh saya nunggu sinyal kamu sampe terpaksa beli kuota lain buat cek apk XL SM komen ke gini,niat ga sih bikin XL ny. Kenapa sih XL pas saya buka apk XL loading ny tuh lamaaaa bangett bahkan kayak ga bisa kebuka. update apk tiap Minggu makin kesini makin aneh"
Figur Angger Subakti,1,2022-12-04 11:53:59,Saya isi ulang pulsa pake nomer XL dia akun XL.saya pake metode pembayaran e wallet shoppe.riwayat Pembyarannya ada di shopee tapi nggak ada di apk XL nya sementara saldo shopee saya sudah berkurang di apk XL nya tidak tercantum Jumlah pulsa tersebut.APK SAMPAH!!
Najla 01,1,2022-12-04 11:14:05,"sebenarnya sy tdk mau beri bintang sedikit pun . Saran sy tdk usah pake xl ini pengalaman sy. Sy beli data lebih dari 100 gb tapi tdk bisa terpakai datanya muncul tapi tidak bisa terpakai, sy sudah coba hubungi csnya tapi tidak hasil. XL PENIPU. Kalau ini di baca lihat oleh pihak XL sy tantang kalian hubungi sy kalau memang kalian propesional"
Husaini107,1,2022-12-04 11:11:47,"Kenapa gakbisa log in Padahal selalu di up date setiap ada pemberitahuan, dan malah saya sering uinstal ini APK trus download lagi tetep aja GK bisa di buka. Kalau trus gini mending gausah ada lagi Apk seperti ini.!"
Raden Rooney,1,2022-12-04 08:59:57,Jaringan lemoooooottttttttt hilang terus....apalagi kalo hujan paraaaaahhhhhh....jaringannya begini udah lama nih ky begini ga punya niat apa buat memperbaiki jaringannya ? Kalah sm yg merah biar mahal tp stabil abiiiiisssss...
Andri Sigit Setiawan,1,2022-12-04 07:48:17,Saya baru beli kartu XL udah di registrasi terus saya cek *123# gak bisa Kata nya harus di registrasi lagi padahal di SMS nya udah aktif tapi tetep masih gak bisa d cek harus resgistrasi katanya. terus saya coba buat internetan sinyal full tapi gak bisa di pake internetan padahal saya baru beli kuota nya banyak dan di liat kuota nya gak ada percuma saya beli kuota banyak gak bisa di pake kecewa sih. Tolong solusinya lah
Syarifudin Prayoga,1,2022-12-04 07:44:58,"Min ini kenapa ya, saya sudah hapus cache, sudah install ulang sudah update juga ttp saja nama apk nya masih feature_referral, kemudian jaringan juga masih ngadat""an min padahal balok sinyalnya penuh Tolong lah kepada XL jangan hanya evaluasi saja tapi langsung lah benarkan keluhan customer kalian. Jadikan XL provider paling bagus min"
DiamondCheater,5,2022-12-04 06:56:15,"Saya sangat menyarankan agar myxl bisa di gunakan dalam kondisi offline agar pulsa tidak terpotong terlebih dahulu saat ingin membeli paket data , dan saya juga pernah mengaktifkan fitur kontrol pulsa data dan saya lupa mematikannya jadi saya tidak bisa membuka myxl lagi"
Indah Nurcahya Ningtyas,1,2022-12-04 06:48:24,"Sinyal akhir2 ini sering ga stabil padahal biasanya bagus lancar2 aja sekarang sering E, gabisa ambil bonus aktivasi ya sekarang? Cs nya bot? Cuma 1? Sumpah ga ada solusi apapun kalo chat sama cs di apk my xl."
Krisdnatan Onie,1,2022-12-04 06:39:34,Aplikasi setelah diupdate jadi feature referal dan tidak bisa dibuka sama sekali. Saya dah coba uninstal dan instal lg tetep sama dan gak ada perubahan..gimna ini...??????
Hanif Mustofa,1,2022-12-04 06:27:38,"Habis di update malah jadi lemot banget, nama aplikasinya malah jadi feature referral, mau masuk ke menu utamanya aja lama bangett, plis kalo update jgn buru buru tapi yg penting kualitasnya lebih baguss lagii"
Sakde Silvi,1,2022-12-04 06:24:20,"Jaringan buruk, dan harga kuotanya mahal"" kalo udh level silver harga kuotanya malah ngelunjak harga nya jelek banget, ngasi harga kuota yg murah biar banyak peminatnya, apknya makin gak jelas my rewardnya kadang muncul kadang gak"
Amih Satra,1,2022-12-04 04:38:40,"Hari ini update lagi (padahal terakhir update 30 Nov 2022). Semoga setelah di-update tak ""aneh²"" lagi kelakuannya.. Setiap log-in, keluar melulu. Dibawa keluar daerah (Jogyakarta), pake data ini, aku mati gaya.."
Nurul Amalia,1,2022-12-04 04:28:56,"Aplikasi gak membantu sama sekali, beli kuota gagal terus yg ada pulsa kesedot sampe abis. Buat staff IT nya benerin dong, provider mahal tp aplikasinya sampah Hhhhhh"
Hanafi Abdillah,3,2022-12-04 04:08:22,"Cukup puas,.tp kenapa ya paket combo saya semalam masih banyak tp paginya habis? Pdhal hp dimatiin,mohon penjelasanya."
Marhamah Aisyah Ramadhani,1,2022-12-04 03:54:43,"saya heran, kenapa sudah 2 kali saya membeli paket akrab. Tapi kuotanya tiba-tiba berkurang sendiri padahal baru saja saya aktfikan tapi sudah berkurang terkadang sampai 15gb. tolong my xl, saya merasa rugi karena saya membeli paket akrab 43 gb tapi yang masuk hanya 29gb"
anthonio arradea,1,2022-12-04 03:43:24,"Sinyal sangat lemah sekali,tidak cocok untuk pemain mobile legend yang ping nya tidak hijau terus bahkan bisa dibilang lebih banyak merah nya,kalau dulu XL bisa di bilang bagus,entah kenapa karena update jadi jelek begini,mohon untuk ditingkatkan kekuatan sinyal nya"
Wahyu Hermawan12,2,2022-12-04 02:44:40,"capee harus ke gmna lagi, udh 2 hari sinyal gaada buat bales pesan WA aja susah, udh coba hubungin XL care sama aja, cuma disuruh restart HP/matikan daya selama 5 menit, tapi mana, masih sama aja sinyalnya kacau kecewa bgt udh berusaha sabar tapii masih kaya gini udh 2 hari."
Arif Anshorullah,2,2022-12-04 01:48:17,"Aplikasi nya eror kah min kok berubah jadi feature_referal. Udah bersihkan chace unistal, install ulang ga berubah. Mohon segera di fiks min"
Susanti 93,1,2022-12-04 01:39:08,Stelah di perbaharui makin jelek banget.. beli paket akrab tp anggota g bisa akses inter. Mau di atur biar akses internet tanpa batas jaringan eror terus kode 141. Hub cs jg g ada tindak lanjutnya sampai skrg
Z y y GAMING,2,2022-12-04 01:25:12,"akhir akhir ini lemot banget aplikasinya ganti nama jdi feature referral ga jelas banget,padahal baru beli paket,kalo lemotnya berlangsung lama mending ganti kartu aja tolong secepat nya di perbaiki !!!!!"
Kholilur Rohman,1,2022-12-04 00:20:15,"Aplikasi nya lemot parah setelah update, padahal pas bukak aplikasi youtube dan ig lancar jaya, kemungkinan habis ini pakek provider lain karna sinyal suka ilang tiba tiba, jadi pengen gak pakek xl lagi buat game gak bagus, padahal lokasi nya kab. Bangakalan kota. Bukan desa"
Andreano Septian,1,2022-12-03 23:18:53,"Aplikasi error + lemot parah Aku kira setelah di update ada pembaharuan. Tp malah kacau. Tolong di benahi ya, saya mau cek kuota dll gabisa"
Loetvi Elbudalak,1,2022-12-03 23:12:27,pelayanan mengecewakan.. pembelian paket tidak masuk padahal saldo/uang sdh terpotong dan ada notif SMS diterima tp paket tidak masuk. cek di myXL tidak ada paket/kuota masuk... kecewaa berat.!
mOsr 93,1,2022-12-03 22:35:33,"Semenjak update, kuota utama terpakai penuh. Bahkan sialnya pulsapun habis terpakai. Padahal di ketentuan tertulis, GRATIS YOUTUBE TANPA KUOTA DARI JAM 01 SAMPAI 06. 👍🏽👍🏼👍🏻. Diupdate lagi barusan, sekarang tulisan aplikasi myxlnya berubah jadi feature_referral. Masalahnya masih sama, kuota utama terpotong."
Akbar Ramdhani,1,2022-12-03 16:58:58,"Banyak error, udh level platinum tiba tiba turun level ke blue, update terlalu sering tapi gak ada dampak perubahan yang signifikan, kecewa.. Tolong perbaiki lagi jika ingin terus maju.."
fhi yan,1,2022-12-03 15:07:08,Ngorot sekali ini prioritas...saking nmr sy ini kembar sama anak dan istri..nomer saya mungkin sengaja di blokir..tiba2 hilang sinyal biar aktifin lagi ke xl center..trus di suruh pakai prioritas..sy pakai yg 120 rb /bulan 40gb..habis kuota saya beli boster pakai saldo prio flex sy. Saldo berkurang ..eh boster yg saya beli masuk tagihan bulanan.tagihan bulan ini 179800 ..promo2 doang boster murah.penuh penuhin memori hp..dibeli nggak bisa2..anjim !!
Pecinta Mie Ayam,1,2022-12-03 14:53:57,"Terus aja minta di update tapi kualitas jaringan internet jelek, ngecek kuota lewat aplikasi pas kualitas jaringan lo jelek gak bisa, padahal dikota gede, diluar gedung 😑 Kenapa aplikasi myxl saya namanya jadi ""feature_referral""? Diperbaharui udah, di install ulang udah, smua udaahhh"
Yuni Wulandari,1,2022-12-03 14:33:19,"Sering eror, walaupun sinyal bagus juga aplikasi ini dibuka lama, kirain setelah di-update bakal ngga sering eror ternyata sama aja eror terus, percuma ada aplikasi ini kalo eror terus. Aplikasi ngga guna lebih cepet lewat *123# daripada ini aplikasi bikin sewot. sering banget sinyal E kadang malah ngga ada sinyal, Hari ini mau cek kuota lewat *123# ngga bisa katanya ada masalah sambungan dll, trs lewat ni aplikasi ini jg ngga bisa dibuka pdhal buat buka tiktok lancar tp buka aplikasi ngga bs"
baba berebere,1,2022-12-03 14:21:28,untuk fitur scan vocernya bisa di gunakan ngak sih?!!.. sudah scan berulang ulang masih dalam proses mulu.
Karni Ningsih,1,2022-12-03 13:34:07,"Saya beli paket di myXL menggunakan payment, pembayarannya berhasil tapi paketnya tidak masuk sudah 3hari. Kok ada ya penyedia jaringan yg menipu seperti ini"
Ahmad Baihaqi,1,2022-12-03 11:52:40,Aplikasi dibuka cuma muter muter doang. Coba uniinstal lagi dan lagi dan lagi sekarng sinyal buruk gak nyambung. Aplikasinya berat
Aron Alexanda,1,2022-12-03 10:58:39,"Apk my xl selalu berat gatau knapa bingung kadang2 sama developernya,kalo bisa harga juga jangan terlalu mahal,harus disesuaikan dengan kondisi keuangan masyarakat"
Siti Nur Halimah,1,2022-12-03 10:43:18,"Saya sudah berhenti pascabayar,dan beberapa bulan sudah menjadi prabayar,tapi sekrng setelh paket habis bukan pulsa yang berkurang melainkan sms kuota pascabanyar sudah akan melampaui batas, tapi my xl tetap setatus prabayar,masih isi pulsa juga masih bisa paketin ekstra combo,, ini gimana ,? Apa besok tgl 15 ada tagihan?"
Eka Zera,2,2022-12-03 10:41:30,"Ok jaringan sudah membaik akhir² ini tapi ada masalah baru?!, Kenapa membership nya ngulang ke blue????! Padahal dikit lagi platinum lho?! Aneh banget"
Jodi Setiawan,2,2022-12-03 08:46:43,Aplikasi myXL lama kelamaan semakin buruk aja extra combo lite juga udah nggk ada tolong dong developer myxl balikin lagi paket extra combo lite nya jangan ngecewain pelanggan XL dong harus nyenengin pelanggan XL kalo kayak gini mending nggk pake XL lagi lah udah kecewa😟
Talitha Faiza Zahra,1,2022-12-03 07:34:53,"Ngebug parah, ga terdeteksi punya paketan padahal masih banyak. Terus sudah melakukan target isi pulsa sekian rupiah biar stay di level platinum lah kok turun jadi blue lagi:("
Iqbal krisna,3,2022-12-03 07:10:41,"Sering gangguan. Fitur Live Chat masih ribet, Saat saya menyiapkan data buat perbaikan. Customer service udah mutus server. Alhasil live chat kembali ke both auto chat."
Pangkalan Banteng,2,2022-12-03 06:57:50,"Kenapa saya tidak bisa beli paket data sering muncul tulisan maaf sistem kami sedang error, setelah saya masuk lagi ke apk my xl pulsa saya kepotong yang tadi 50.000 malah tinggal 42.23 tolong untuk segera di perbaiki🙏"
Gilang Adi,1,2022-12-03 04:30:13,"Sungguh Sangat mengecewakan ...pada saat pus rank yg awal nya stabil tiba"" ping naik tinggi sangat mengecewakan ...kejadian ini tidak hanya 1x saja tapi udh berulang"" kali ...di wilayah Magetan/Ngawi pun begitu .....ini adalah bukti kekecewaan saya terhadap proveder XL"
Rafif Shidqi,1,2022-12-03 04:22:07,"Sumpah ya kalo ngisi paket kuota pake pulsa tuh langsung respond dong. Anjir la tulisan transaksi berhasil tapi kuota ga masuk, pulsa jadi makin ilang woy elah !"
Andy minimalis,1,2022-12-03 03:01:11,apk ga jelas jaringan sangat2 buruk BANGET padahal udah 9 thn saya pake xl. pokonya serba ancur banget MEMBAGONGKAN banget. jaringan xl memang tidak cocok untuk game onllin sperti mobalagen jaringan yg sangat BURUK tiba2 ilang bikin naik darah. sangat kecewa banget dan sudah bikin berjuta juta pelanggan kecewa dan jaringan xl sangat mengecewakan banget!!!
nurcahyo ilham,1,2022-12-03 02:58:42,Tambah ke sini XL tambah jelek...setiap update terbaru sama saja kayak yg dulu..trs setiap kali ada SMS dari XL terpotong pulsa... giliran tidak ada pulsa tidak ada SMS dari xl.!!!
Yoppie Adinata,1,2022-12-03 02:24:47,"Aneh, setelah bertahun tahun memakai aplikasi ini, sdh 2 hari ini nama aplikasi berubah dari my xl menjadi feature_referral. Sdh ditelpon ke xl center hanya disuruh clear cache, sdh berkali kali uninstal dan instal ulang tetap nama aplikasi nya masih feafure_referral, dan cek paket jg tdk bisa."
Mitha Salma Nabila,1,2022-12-03 01:50:20,Guys sebanyak apapun kuota kalian jangan sekali-kali nyisain pulsa. Kalo mau aktifin data pulsanya langsung abisin ajaa... Karna XL itu suka nyolong pulsa orang !!! Live chat sama xl tapi slow respon. Pertama dan terakhir pake XL !!
Yoshua Christian,1,2022-12-03 01:01:51,"Saya tgl 29 November kmrn beli paket akrab yang tertera mendapatkan bonus platinum vidio, tetapi sampai sekarang saya belum mendapatkan akses tersebut, ini knp ya, saya chat cs nya tpi sampai sekarang belum ada solusi yg pasti Tolong di respon..."
DD CELL,1,2022-12-03 00:48:22,"Aplikasinya lemot, dan khusus Mataram NTB janganlah pilih kasih, kalian semua hanya mementingkan orang berduit saja...kami sebagai pedagang kecil juga sama punya hak. Pimpinan XL kurang berpihak kepada outlet kecil"
Dedi Dermawan,1,2022-12-02 21:53:45,"Aplikasi sering banget error, tampilan nggak jelas, Abis di update ke versi 5.6.14 malah nama aplikasinya jadi ""feature_referral"" makin ngaco.. Terus yang jadi jengkel, Saya isi pulsa 25rb, nggak di pakai apa-apa dari tanggal 27 November sampai sekarang makin berkurang, ini sekarang pulsa tinggal 12rb. Nggak berlangganan apa² padahal. 🤬"
Evi Silvriyani,2,2022-12-02 18:28:07,"Buat masuk ke apk nya susah banget, gagal mulu. Terus gunanya fitur data rollover kuota utama itu buat apa, iya emang ke akumulasi kuota nya tapi ga semua ke akumulasi. Paketan saya dibulan lalu masih ada 5gb tp yg di akumulasikan cuma 1gb aja ditambah waktu klaim bonus dari pembelian paket, bonus saya yang sebelumnya juga malah langsung angus gitu aja. Paket data saya 5gb angus gitu aja."
Zaenul Arifin,1,2022-12-02 16:44:56,"Baru bangt Update My XL, eh tbtb pas selsai di update My XL brubah nama jadi Feature Referral,, saya Uninstall lagi trus Instal lagi tapi tetap saja namanya Feature referral bukan My XL. Mohon pencerahannya suhuu"
Abdul latif,5,2022-12-02 16:17:13,"kenapa sekarang paketannya tambah mahal , sebulan yang lalu padahal murah😌, Skrng sudah mahal malah kalau cuaca lagi hujan sinyalnya jelek tolong di perbaiki✌️"
Apriesta_182 (Syila),2,2022-12-02 15:46:24,"Saya sangat kecewa dengan jaringan seluler XL AXIATA saat in, karena jaringan XL AXIATA saat ini sangat lemot atau lambat sekali Mohon di perbaiki dong kecepatan jaringan seluler nya seperti dulu yg anti lemot"
Harkindo Sitepu,1,2022-12-02 14:51:02,Gimana nih XL saya sudah beli paket di my xl tapi setiap jam 7 malam ke atas tidak bisa di gunakan paketnya padahal sinyalnya 4G+ kan kecewa..!!!!
Agung Nugraha,1,2022-12-02 14:38:40,"Apps gajelas, mau beli paket aja selalu di proses nya lama gaa berhasil"". Kalo blm siap keluarin apps yang memadai gausah di rilis, beda sama provider sebelah beli paket langsung berhasil."
Nailis Saida,2,2022-12-02 14:22:28,"Habis di apdet malah ga berfungsi. Sinyal bagus, tp mau nambah paketan tinggal konfirmasi bayar aja lamannya susah pake banget. Perbaiki lagi. Masih sering ngebug"
Jeremy Maun,2,2022-12-02 14:08:30,Kok agak eror yahhhh udah sejam d ulang' untuk beli paket yang xtra combo mini ttp gak bisa katanya jaringan dan blablabbla pdhal jringan XL di daerah saya bagus dan saya juga udah pakee wifi tpi ttp gak bisa untuk beli paketnya.....
Rasyid Ahmad,2,2022-12-02 14:07:45,"janjinya 30 Mbps, faktanya speed 3 Mbps apalagi kalau malam, budget iklan dikurangi lebih baik tingkatkan kualitas kestabilan koneksi."
Chintya Perwadi,2,2022-12-02 14:04:24,"Beberapa bulan pemakaian sih oke, banyak promo kuota. Eh, tapi setelah update terakhir, transaksi jadi susah banget. Setiap masuk ke laman konfirmasi pembelian, mendadak aplikasi ngehenk bukan main. Tolong diperbaiki segera!"
Wiranata Sabil,1,2022-12-02 13:58:59,"Aplikasi bikin naik darah saja mau beli paket lewat pulsa asik periksa koneksi terus padahal nonton you tube lancar nya, apa lah ini tolong di perbaiki"
Artemisia Ashcroft,1,2022-12-02 13:53:41,"Setelah update versi terbaru 5.6.14 Banyak sekali bug, misalnya nama aplikasi bukan myXL tetapi menjadi featural_referral, gagal mengakses myXL berkali-kali, loading yg lebih lama, membeli paket setelah baru masuk ke pembayaran aplikasi langsung keluar."
Farah Khumairah,1,2022-12-02 13:49:12,"Binggung kali lihat aplikasi myxl sekarang makin kesini makin gak bagus ,jaringan juga suka ngilang ,mau beli paket data di myxl susah kali terusterusan jaringan sementara pulsa kesedot terus Kapok make xl sekarang"
ekdrmdi official,1,2022-12-02 13:45:41,"Saya pengguna setia xl, kadang pulsa saya terpotong sendiri, mau beli paket di aplikasi sangatlah sulit, selalu ada kesalahan, ini bagaimana sih aplikasinya, 1 lagi abis di update kok malah lemot, gimana gak ngeluh, dasar XL"
Imam Arfin,1,2022-12-02 13:20:29,"Gak mutu ! sering eror ! Menyusahkan ! Gak guna ! Stiap hari kok ada ganguan terus di my xl ini hadehhhhh !!! Buat apa ada aplikasi kek gini klok ada gangguan terus , tolong di perbaiki !!"
Ranie,1,2022-12-02 13:17:41,"Bnr2 payah aplikasi ini. Masa sering error. Selain itu, percuma ada fitur ""live chat"". Masa ditanggapi bot. Giliran dihubungkan ke agen tapu antrian 200an & antrian tdk ada pergerakan. Sekalinya ada pergerakan jg ngaco. Antrian udh ke 234, masa jd ke 265. Payah payah"
Supriyanto,3,2022-12-02 13:16:18,"Bagaimana ini..? Dikasih full bintang bukannya lebih meningkatkan layanan malah bikin kacau bisnis gara² signal..??? Lama² mirip jaringan sebelah, lebih mengutamakan keuntungan drpd layanan pelanggan..."
Ncep Holic,1,2022-12-02 13:07:07,"Saya pengguna XL prioritas. Tapi Setelah update di playstore, kenapa aplikasi myXL namanya berubah menjadi ""feature_referral"". Terus tidak muncul jumlah kuota dan lain-lain."
Muhamad Rehan,1,2022-12-02 13:06:26,"Makin sini kok malah turun kualitas sinyal nya jdi jelek , dulu bagus stabil , skrang kok jdi agak lemot, trus My XL nya juga sering error gajelas , tolong dong perhatiin apk nya , perbaikin lagi biar pengguna yg lain juga nyaman"
Has Newbi,3,2022-12-02 13:05:58,Sorry min setelah updet loadingnya makin lama dan gk jelas makanya saya kurangi bintang nya tolong di perbaiki lagi ngecek kuota juga gagal terus dan loadingnya super duper lama
Diva Marsha,3,2022-12-02 13:01:19,"Agak keseringan update ya lama lama, pas masuk apknya jg sering 'terjadi kesalahan', sinyalnya jg sering tiba tiba jelek"
Dimas Fitri,1,2022-12-02 12:30:26,"Apa-apaan apk pembodohan, sering update tapi buka apk nya seperti bukak link situs. Diperbaiki terutama untuk sinyal nya. Jangan bodohi kami! Atau kartu lo gak akan laku"
cokro gandoso,4,2022-12-02 12:28:04,"Kenapa susah buat load data, cek kuota aja susah, kenapa kalah sama adikny, Ax..., yang bisa login tanpa kuota apk ny juga ringan dan responsif. Tolong perbaiki, saya gunakan XL lebih dr 10 th"
raka ramadhani,1,2022-12-02 12:24:58,Udah beli paket akrab tapi ga bisa tambah anggota. Apk baru di update tpi bug semua isinya. Baru beli paketan yg 300Gb paketannya ga masuk di dashboard mau nambah anggota lebih lebih ga bisa.
Muchamad Eidwar,1,2022-12-02 12:21:26,"setelah di update, aplikasi jadi error.. nama aplikasi bukan ""myXL"", tapi jadi ""feature_referal"".. mau masuk aplikasi nya lemot parah.. mau cek paket saya, gagal terus.. di refresh berkali2, tetep gagal.. jaringan ngadat2an, kadang bagus kadang lemot.."
Adi satiya,1,2022-12-02 12:20:14,"Selepas saya update,kenapa ketika masuk myXL di dalamnya ngebug,sering terjadi kesalahan,loading lama,detail kuota tertulis 0 semua padahal baru belizmau cek detail kuota malah terjadi kesalahan,tolong di perbaikii !!!!"
ALI AHE,1,2022-12-02 12:17:05,"Sering keluar sendiri app nya , informasi nya sangat sering tidak akurat , tidak ramah anda saya beri bintang satu ( expresi ngambek ) 🗿"
